timestamp,cross_track_error,current_velocity,goal_velocity,x_m,y_m
1739219908.359561518,0.002681982010754453,3.0424,3,-906.3198468529404,790.0665159832033
1739219908.374420714,0.011176900210185732,3.046,3,-906.2658200622409,790.0379652884527
1739219908.391209073,0.015497922428942884,3.052,3,-906.2387200073895,790.0236981767791
1739219908.408227110,0.02431072689549675,3.0483,3,-906.1843976696475,789.9952862932743
1739219908.421060689,0.028541446866486127,3.063,3,-906.1572775698492,789.9808932396977
1739219908.436487724,0.0325584012665879,3.0821,3,-906.1301374251041,789.9662209042774
1739219908.450307470,0.04058737735560243,3.1003,3,-906.0755725910437,789.9366390187755
1739219908.465017186,0.04899550835239862,3.0899,3,-906.0207067089491,789.9073072866162
1739219908.485466037,0.05307665262544956,3.0781,3,-905.9933932452007,789.8925747524504
1739219908.504540636,0.06388848973631937,3.0617,3,-905.9430176138283,789.8694478889671
1739219908.521588562,0.06748052285773781,3.0571,3,-905.9161675153588,789.854441404912
1739219908.537296349,0.07464618835844525,3.0405,3,-905.8626095911552,789.8245087098486
1739219908.558464985,0.08076882089021072,3.0823,3,-905.8094493968484,789.7935755626095
1739219908.577430522,0.08585945176663502,3.1148,3,-905.7561178426101,789.7612442041652
1739219908.592434494,0.057416628831754205,3.0895,3,-905.7502657538945,789.7218913307748
1739219908.610207932,0.06283273866603592,3.1205,3,-905.6967298336967,789.6898265264841
1739219908.624985971,0.06585744614447332,3.0816,3,-905.6444271930831,789.6557022793837
1739219908.642631307,0.06637361683049522,3.0434,3,-905.6192481944387,789.638117793601
1739219908.662549024,0.055758562148777,3.0031,3,-905.5766490984453,789.594204605862
1739219908.680868477,0.05750673058360007,3.0456,3,-905.5509957320622,789.5778067845164
1739219908.696250550,0.0647241617833544,3.1883,3,-905.470327127421,789.5283935712164
1739219908.712845939,0.06568367071199384,3.1736,3,-905.4439223087928,789.5104991360108
1739219908.726228413,0.06499670660200253,3.0498,3,-905.3937851802267,789.4734261940292
